"Severity","ThreadID","Date","Time","Application","Message"
"Information","main","12/12/24","20:28:49","","/opt/coldfusion/cfusion/logs/server.log initialized"
"Information","main","12/12/24","20:28:49","","Starting logging..."
"Information","main","12/12/24","20:28:49","","Starting license..."
"Information","main","12/12/24","20:28:49","","Evaluation Edition enabled"
"Information","main","12/12/24","20:28:49","","Starting crypto..."
"Information","main","12/12/24","20:28:49","","Installed JSafe JCE provider: Version 6.21 Crypto-J 6.2.1, EMC Corporation. JsafeJCE Security Provider (implements RSA, DSA, ECDSA, Diffie-Hellman, ECDH, AES, DES, Triple DES, DESX, RC2, RC4, RC5, PBE, MD2, MD5, RIPEMD160, SHA1, SHA224, SHA256, SHA384, SHA512, HMAC-MD5, HMAC-RIPEMD160, HMAC-SHA1, HMAC-SHA224, HMAC-SHA256, HMAC-SHA384, HMAC-SHA512, HMACDRBG, HASHDRBG, CTRDRBG, FIPS186PRNG, SHA1PRNG, MD5PRNG; RFC 3394, RFC 5649 AES Key Wrap; X.509 CertificateFactory; PKCS12, PKCS15 KeyStore; X.509V1, PKIX, PKIX-SuiteB, PKIX-SuiteBTLS CertPathValidators; X.509V1, PKIX, PKIX-SuiteB, PKIX-SuiteBTLS CertPathBuilders; LDAP, Collection CertStores)"
"Information","main","12/12/24","20:28:49","","Starting security..."
"Information","main","12/12/24","20:28:55","","Starting scheduler..."
"Information","main","12/12/24","20:28:55","","Starting WatchService..."
"Information","main","12/12/24","20:28:55","","Starting debugging..."
"Information","main","12/12/24","20:28:55","","Starting sql..."
"Information","main","12/12/24","20:28:55","","Starting runtime..."
"Information","main","12/12/24","20:28:56","","CORBA Configuration not enabled"
"Information","main","12/12/24","20:28:56","","Starting mail..."
"Information","main","12/12/24","20:28:56","","Starting cron..."
"Information","main","12/12/24","20:28:56","","Starting registry..."
"Information","main","12/12/24","20:28:56","","Starting client..."
"Information","main","12/12/24","20:28:56","","Starting xmlrpc..."
"Information","main","12/12/24","20:28:56","","Starting jaxrs..."
"Information","main","12/12/24","20:28:56","","Starting graphing..."
"Information","main","12/12/24","20:28:56","","Starting solr..."
"Information","main","12/12/24","20:28:56","","Starting archive..."
"Information","main","12/12/24","20:28:56","","Starting document..."
"Information","main","12/12/24","20:28:56","","Starting eventgateway..."
"Information","main","12/12/24","20:28:56","","Starting FlexAssembler..."
"Information","main","12/12/24","20:28:56","","Starting .NET..."
"Information","main","12/12/24","20:28:56","","Starting Monitoring..."
"Information","main","12/12/24","20:28:57","","Starting PDFG..."
"Information","main","12/12/24","20:28:57","","Starting WebSocket..."
